HSC	MPP	CMP	MEP	P1	P2	P3	P4	P5	P6	P7	P8	genes
34.44	23.12	16.45	15.04	12.46	6.23	5.25	6.14	6.26	5.04	1.53	0.26	GMDS-AS1
2.53	0.49	0.5	0.24	0.24	0.05	0.11	0.03	0.03	0	0	0.01	RP1-136B1.1
0.16	0.05	0.09	0.12	0.04	0	0.01	0	0	0	0	0	C6orf195
0	0	0	0	0	0	0	0	0	0	0.02	0	RP11-145H9.3
6.47	6.73	5.96	4.27	2.44	0.29	0.3	0.28	0.94	4.89	6.83	1.78	MYLK4
111.99	114.95	88.75	84.13	25.02	20.07	9.2	7.97	17.96	23.18	8.44	3.52	WRNIP1
402.57	583.9	729.01	438.9	506.66	59.55	45.38	35.71	31.64	24.02	8.98	4.33	SERPINB1
5.98	6.29	2.08	2.92	0.71	0.16	0.19	0.09	0.21	0.01	0	0	RP11-420G6.4
109.36	108.03	58.77	85.85	80.1	27.69	23.23	19.42	17.43	5.94	0.31	0.45	SERPINB9
0	0	0	0	0	0	0	0	0	0	0	0	RP1-90J20.2
122.68	125.32	81.94	42.25	101.23	30.27	15.25	11.58	10.4	2.84	0.6	0.49	SERPINB6
7.08	2.3	2.22	1.42	2.24	0.83	1.38	0.92	0.39	0.11	0.15	0.13	LINC01011
9.97	12.89	11.06	19.36	49.22	61.7	63.58	51.03	50.07	51.91	38.36	52.01	NQO2
0.03	0	0	0	0.02	0	0.01	0.03	0	0	0	0.01	RP1-90J20.8
1.01	1.67	2.1	1.62	2.91	3.59	3.91	2.7	3.37	4.99	7.67	6.54	RP1-90J20.12
0.19	0.19	0.02	0.07	0	0	0.04	0.07	0	0.03	0.03	0.03	RP1-40E16.2
52.14	48.84	47.99	55.7	33.24	23.24	17.89	17.88	15.05	11.12	3.41	2.98	RIPK1
1.14	2.05	2.91	1.33	0.1	0.13	0.16	0.1	0.12	0.16	0.08	0.01	RP1-40E16.12
3.09	4.62	6.1	9.49	6.71	11.85	13.33	11.01	2.09	0.29	0.17	0.19	BPHL
0	0	0	0	0	0	0	0	0	0	0	0	RP1-40E16.11
0.32	0.55	1.25	10.28	26.98	216.88	265.55	215.11	154.72	184.95	157.94	134.26	TUBB2A
0	0	0	0	0	0.05	0.03	0.03	0	0	0	0	RP1-40E16.9
0.03	0	0.02	0.07	1.17	8.04	9.76	6.84	6.54	7.77	6.47	5.33	TUBB2B
10.59	16.86	11.68	20.16	33.95	57.34	43.08	36.9	30.58	45.84	47.56	29.69	PSMG4
1.14	3.56	5.89	21.53	7.05	18.51	18.89	25.49	59.49	105.45	127.14	98.8	SLC22A23
0.16	0.11	0.5	1.18	0.65	2.1	2.78	5.08	13.31	24.75	31.23	17.52	RP11-506K6.4
0	0	0	0.24	0.12	0.22	0.18	0.05	0	0.01	0	0	RP1-223B1.1
1.62	1.2	0.31	0.1	0.36	0.13	0.07	0.02	0	0	0	0	PXDC1
0.91	0.47	0.09	0	0	0	0	0	0	0	0	0	RP11-420L9.5
1.85	2.13	1.39	3.33	16.72	29.19	27.82	26.61	15.48	8.8	4.1	3.97	FAM50B
0	0	0	0	0	0	0	0	0	0	0	0	RP1-140K8.1
0.36	0.14	0.02	0.02	0.08	0.05	0	0.03	0	0.13	0	0	RP1-140K8.5
0.1	0.14	0.09	0.1	0.3	0.36	0.21	0.16	0.32	0.24	0.12	0.06	C6ORF50
0	0.03	0	0.12	0.04	0.07	0.08	0.02	0.04	0.04	0.06	0.04	RP3-406P24.4
0.03	0.05	0.02	0.1	0.26	0.36	0.27	0.1	0.11	0.16	0.05	0.1	RP3-406P24.3
160.59	165.52	166.01	177.25	119.06	148.43	130.8	124.69	104.05	80.86	35.25	20.55	PRPF4B
0.88	0.77	1.18	0.58	0.4	0.14	0.34	0.28	0.19	0.2	0.15	0.14	FAM217A
1.4	1.07	0.35	0.24	0.22	0.34	0.11	0.26	0.24	0.09	0.06	0.04	C6orf201
17.77	20.55	21.56	32.45	34.54	69.12	71.54	63.26	33.36	12.87	9.62	4.95	ECI2
0.1	0.33	0.28	0.29	0.06	0.05	0.01	0.02	0.06	0.01	0.06	0	RP3-400B16.4
1.66	0.9	1.28	0.84	0.06	0.23	0.19	0.09	0.11	0.03	0.09	0.08	RP3-400B16.1
0	0	0.02	0.07	0	0	0	0	0.01	0	0	0	RP3-400B16.3
0	0	0	0	0	0	0	0	0	0	0	0	RP3-527G5.1
0	0	0	0	0.04	0	0	0	0	0.01	0.15	0.06	RP11-274H24.1
0	0	0	0	0	0	0	0	0	0	0	0	RP4-529N6.2
0	0	0	0	0	0	0	0.02	0	0	0.08	0	RP4-529N6.1
40.51	38.86	46.03	95.75	14.24	21.78	19.99	22.91	35.91	47.33	32.75	14.14	CDYL
0.03	0.08	0.02	0.02	0	0	0.04	0	0.06	0.01	0.02	0.03	RP3-430A16.1
11.37	11.96	12.86	18.37	14.26	30.36	28.98	18.44	2.63	0.79	2.77	5.72	RPP40
12.61	9.55	7.87	9.37	1.66	1.59	1.91	1.43	0.25	0.04	0.06	0.11	RP11-428J1.5
0.68	1.09	1.04	0.58	0.14	0.31	0.14	0.24	0.06	0.03	0.02	0.03	RP11-428J1.4
0	0	0	0	0.1	0.11	0.1	0.05	0.01	0	0	0	PPP1R3G
25.28	32.81	31.28	33.2	48.67	72.41	77.34	70.31	30.08	15.35	7.4	4.37	LYRM4
10.85	9.77	14.04	14.51	24.6	36.77	38.79	37.11	19.05	9.02	3.84	2.25	FARS2
0.94	1.34	0.5	0.77	0.59	0.34	0.33	0.38	0.36	0.56	0.14	0.03	RP1-232P20.1
1.85	1.5	0.59	1.3	0.32	0.14	0.37	0.24	0.22	0.07	0.08	0.03	RP1-256G22.2
0.06	0.11	0.05	0	0	0	0	0	0.03	0	0	0	RP3-380B8.4
0.03	0	0.02	0.02	0.02	0	0	0	0	0	0	0	NRN1
0.1	3.01	12.6	2.82	57.32	2.22	1.75	1.69	1.16	0.66	0.08	0.08	F13A1
0	0.03	0.05	0.19	0	0.13	0.22	0.21	0.01	0.01	0.11	0.1	LY86-AS1
0.16	0.96	1.13	0.22	0.79	0.04	0.03	0.02	0.01	0.06	0.03	0	LY86
0.13	0.14	0.02	0.77	0.06	0.88	0.8	0.79	0.25	0.33	0.34	0.11	RP1-80N2.3
0	0.44	0.38	13.45	0.59	4.71	6.11	6.82	1.03	0.1	0.11	0.08	RP1-80N2.2
0	0	0	0	0	0	0	0	0	0	0	0	RP3-470L22.1
0	0	0	0	0.1	0	0	0	0	0	0	0	RP3-429O6.1
0	0	0	0.02	0	0	0	0	0	0	0	0	RP11-556O15.1
153.67	167.27	170.24	411.72	166.99	186.16	131.64	109.69	73.04	68.67	19.96	8.79	RREB1
607.55	614.36	896.93	621.05	465.99	320.95	291.02	238.09	114.93	66.89	20.32	9.7	SSR1
0.62	2.16	1.61	0.82	0.12	0.07	0.14	0.07	0.11	0.07	0.06	0.03	RP11-69L16.4
0.23	0.11	0.09	0.17	0.02	0.07	0.07	0.05	0	0	0	0.07	CAGE1
116.18	106.77	133.31	171.5	66.61	128.9	132.62	114.1	51.84	28.81	10.59	5.59	RIOK1
0	0	0	0	0	0	0	0	0	0	0	0	RP3-512B11.3
0.03	0	0	0.19	0.06	0	0	0.12	0.5	0.16	0.03	0.15	DSP
41.78	44.9	43.4	55.31	30.36	26.57	21.51	18.07	16.74	11.63	2.76	1.66	SNRNP48
10.1	20.63	3.92	1.35	0.67	0.11	0.04	0.05	0.06	0	0.12	0.25	BMP6
2.31	3.42	2.81	1.69	0.5	0.4	0.49	0.44	0.32	0.19	0.02	0.06	TXNDC5
0	0	0	0	0	0	0	0	0	0	0	0	BLOC1S5-TXNDC5
20.01	22.38	22.34	25.76	29.1	30.22	31.93	30.91	25.88	18.35	5.08	1.35	BLOC1S5
0	0	0	0	0	0	0	0	0	0	0	0	EEF1E1-BLOC1S5
4.68	4.9	4.89	7.46	15.69	31.19	29.66	25.14	12.73	5.36	0.85	0.33	EEF1E1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-203H2.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-203H2.2
12.51	11.11	16.24	14.75	23.39	20.93	20.99	19.71	19.04	16.69	6.26	2.91	SLC35B3
0.03	0	0.07	0.02	0.02	0	0.01	0	0	0	0.02	0	HULC
0.06	0.05	0.05	0	0.04	0.02	0.03	0	0.03	0.01	0	0	RP11-314C16.1
0	0	0	0	0	0	0	0	0.01	0	0	0	RP11-354I10.1
0	0	0	0	0	0	0	0	0	0	0	0	OFCC1
0	0.36	0.07	0.07	0.12	0.14	0.1	0.26	0.08	0.03	0.02	0	TFAP2A
0	0.03	0	0	0	0	0	0	0	0	0	0	TFAP2A-AS1
0	0	0	0	0	0	0	0	0	0	0	0	RP1-290I10.3
0	0	0	0	0	0	0.01	0	0	0	0	0	LINC00518
0	0.03	0	0	0.04	0	0	0	0	0	0	0	RP1-290I10.7
0.1	0	0	0	0	0	0	0	0	0	0	0	RP1-290I10.5
50.62	45.78	21.42	27.26	24.28	19.89	24.98	40.02	164.51	226.57	251.31	102.46	GCNT2
0.1	0.03	0.07	0.22	0.22	0.16	0.03	0.09	0.03	0.07	0.14	0.49	RP11-360O19.4
0.78	0.99	0.5	0.39	0.55	0.16	0.14	0.26	0.32	0.6	1.21	0.43	GCNT6
0.71	1.01	0.38	0.43	1.27	1.23	1.55	1.71	1.18	0.5	0.34	0.15	C6orf52
23.91	27.45	41.96	65.11	58.37	138.33	169.19	160.7	43.92	13.35	6.49	4.27	PAK1IP1
66.54	78.18	71.09	268.19	140.98	289.67	373.15	526.91	428.31	151.34	71.85	45.39	TMEM14C
0.36	0.36	0.26	0.8	1.56	1.88	1.52	1.81	1.22	0.53	0.29	0.29	RP11-421M1.8
41.72	39.57	49.36	112.36	52.98	102.59	125.12	174.64	188.65	100.72	75.63	48.38	TMEM14B
0.13	0.47	0.31	0.82	0.3	0.31	0.18	0.12	0.18	0.19	0.25	0.11	SYCP2L
0	0	0	0	0	0	0	0	0	0	0	0	RP11-637O19.3
3.93	5.01	6.76	5.43	3.29	2.75	2.19	3.05	3.82	4.32	3.33	1.1	MAK
0.06	0.11	0.05	0.02	0.1	0.04	0.07	0.09	0.07	0.1	0.09	0.03	GCM2
0	0	0	0	0.14	0.02	0.03	0.07	0.07	0.07	0.09	0.17	RP11-637O19.2
0.26	0.08	0.07	0.19	0.08	0.18	0.08	0.03	0.07	0.1	0.05	0	ELOVL2
0	0	0	0	0	0	0	0	0.01	0.01	0	0	ELOVL2-AS1
8.32	8.92	11.49	12.46	4.5	4.98	2.95	2.04	1.65	1.19	0.4	0.28	SMIM13
7.05	2.41	5.2	2.39	1.19	0.36	0.71	0.63	0.43	0.61	0.42	0.1	ERVFRD-1
0.42	0.14	1.16	0.05	0.63	0	0	0	0.01	0	0.02	0	RP3-510L9.1
4.39	6.76	19.36	1.91	25.04	1.17	0.33	0.31	0.47	0.29	0.2	0.11	NEDD9
0	0	0	0	0	0	0	0	0	0	0	0	RP11-716O23.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-716O23.2
25.99	26.1	40.83	9.13	9.98	2	0.64	0.4	0.07	0.11	0.03	0.1	TMEM170B
0	0	0	0	0	0	0	0	0	0	0	0	RP11-679B17.2
0.06	0.08	0	0.05	0.02	0	0.01	0	0	0	0	0	ADTRP
0	0	0	0	0	0	0	0	0	0	0	0	RP3-413H6.2
0	0	0	0	0	0	0	0	0	0	0	0	RP11-456H18.1
0.55	0.27	0.02	0.02	0	0	0.01	0	0	0	0	0	RP11-456H18.2
171.09	151.89	114.26	93.94	20.48	16.85	16.23	18.11	14.48	9.43	3.75	5.2	HIVEP1
0	0.03	0	0	0	0.05	0	0	0.03	0	0	0	EDN1
0.06	0.03	0	0	0	0	0.01	0	0	0	0	0	RP11-125M16.1
64.69	66	31.04	15.28	22.88	4.5	2.66	1.5	0.78	1.24	1.9	1.45	PHACTR1
5.04	4.73	2.98	1.79	1.58	0.65	0.37	1.01	0.72	1	0.88	1.09	RP1-257A7.4
10.56	10.73	14.14	23.56	50.11	69.84	76.45	79.5	55.96	29.82	14.23	10.35	TBC1D7
9.84	6.46	3.33	1.81	21.61	5.02	3.39	2.79	1.87	1.71	1.58	0.92	RP1-257A7.5
33.46	36.09	9.74	5.58	19.53	17.68	20.63	28.56	55.57	35.72	5.27	0.85	GFOD1
0	0	0	0	0	0	0	0	0	0	0	0	AL583828.1
0	0	0.02	0.07	0	0	0	0	0.01	0	0	0	GFOD1-AS1
21.09	18.03	12.81	14.87	15.98	22.65	24.49	24.39	17.29	10.2	4	2.55	SIRT5
0.52	1.15	0.38	0.48	1.29	1.64	1.04	0.63	0.14	0.09	0.15	0.06	RP1-223E5.4
10.53	9.96	8.27	5.5	3.27	7.06	5.36	3.54	2.54	1.96	1.18	1.39	NOL7
0.03	0.08	0.02	0	0	0.02	0	0	0	0.03	0	0	AL441883.1
98.54	102.99	117.94	131.96	20.82	24.15	17.32	11.93	18.16	27.81	30.77	20.94	RANBP9
52.79	54.1	68.79	96.86	27.04	37.62	33.73	36.31	35.93	18.49	2.88	1.07	MCUR1
0	0.03	0.12	0.07	0.04	0	0.04	0	0	0	0	0	RP3-500L14.2
0.03	0.03	0.45	6.42	0.28	0.45	2.71	9.35	2.2	6.19	14.49	12.26	RNF182
0	0	0	0.02	0	0	0	0.02	0	0.01	0	0	RP3-380E11.2
51.14	41.04	18.68	10.96	37.38	14.59	12.56	7.29	3.38	2.89	0.65	0.43	CD83
0	0	0	0.02	0.06	0.02	0.05	0	0.01	0.04	0	0	RP11-359N11.1
0.06	0.03	0.07	0.07	0.14	0	0	0.02	0.01	0.04	0.02	0	LINC01108
0	0.11	0	0	0	0	0	0.02	0	0	0.03	0.01	RP3-448I9.2
0.03	0	0.05	0	0	0	0	0	0	0	0	0	RP3-448I9.1
0.03	0	0.02	0.05	0	0	0.04	0.05	0.01	0.03	0.46	0.11	RP11-330A16.1
0.16	0	0.02	1.26	0.71	2.78	3.1	3.63	0.46	0.14	0.03	0	RP11-146I2.1
0.29	0.77	0.78	1.35	0.38	0.29	0.12	0.16	0.01	0.01	0.05	0.19	RP11-560J1.2
168.81	213.02	236.62	264.55	165.29	137.77	135.76	146.31	89.53	87.18	74.07	54.42	JARID2
0.16	0.16	0.28	0.24	0.14	0.11	0.04	0.09	0.06	0.03	0.02	0.03	JARID2-AS1
28.72	30.29	24	23.03	15.81	15.33	11.72	8.79	4.03	2.36	0.81	0.4	DTNBP1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-401E14.2
47.56	53.55	52.25	52.51	7.78	8.07	6.69	5.65	3.69	7.76	28.32	63.01	MYLIP
10.4	23.92	36.03	43.46	70.51	104.12	103.9	108.32	146.75	264.26	409.1	315.47	GMPR
70.4	56.07	34.61	29.24	27.57	7.24	5.69	4.64	3.59	6.33	10.82	12.88	ATXN1
0.97	0.52	0.17	0.07	0.08	0	0.01	0	0	0	0	0	RP1-151F17.1
2.24	1.18	0.61	0.48	0.26	0.02	0.03	0.03	0	0	0	0	RP1-151F17.2
0	0.05	0.02	0	0	0	0	0	0	0	0	0	STMND1
0.13	0.16	0.47	0	0	0	0	0	0	0	0	0	RBM24
0	0	0	0.02	0.04	0	0	0	0	0	0	0	CAP2
49.51	56.86	44.44	54.03	18.18	9.83	7.24	5.27	5.32	9.3	9.15	8.08	FAM8A1
238.66	226.54	283.52	338.25	61.04	88.93	86.83	86.73	77.05	98.07	152.32	204.78	NUP153
2.57	3.42	2.96	2.51	1.56	1.48	1.03	0.61	0.5	0.63	1.01	1.35	RP11-500C11.3
142.85	116.95	78.49	135.17	14.38	13.62	10.75	9.28	7	4.59	0.96	0.74	KIF13A
3.64	3.06	3.55	11.54	3.98	7.06	6.75	7.64	2.26	0.7	0.22	0.15	NHLRC1
23.88	29.31	30.99	37.47	24.58	47.54	53.28	45.26	23.26	8.97	1.21	1.59	TPMT
96.65	84.55	84.37	80.56	15.77	17.65	15.14	9.7	3.26	1.71	0.33	0.47	KDM1B
395.23	429.9	437.1	453.07	285	329.15	362.19	390.57	554.95	364.99	73.63	23.28	DEK
30.28	24.9	34.11	43.58	11.61	20.81	15.67	9.58	1.25	0.76	0.45	0.08	RNF144B
0	0	0	0	0	0	0	0	0	0	0	0	RP11-686D16.1
0	0	0	0	0	0	0	0	0	0	0	0	RP1-167F1.2
0	0	0	0	0	0	0	0	0	0	0	0	RP3-471C18.2
0	0	0	0	0	0	0	0	0	0	0	0	RP3-471C18.1
2.53	0	0	0	0	0	0	0	0	0	0	0	RP4-625H18.2
0.13	0.05	0	0	0	0	0	0	0	0	0	0	ID4
22.22	19.87	29.91	44.98	163.58	113.28	99.62	78.21	37.39	16.82	5.25	6.73	MBOAT1
0.06	0.08	0.09	0	0.06	0	0.01	0	0	0	0	0	RP11-239H6.2
47.43	55.57	64.35	64.46	49.95	50.19	40.42	32.22	18	24.32	33.74	22.09	E2F3
47.69	47.23	47.73	47.9	40.56	43.83	45.16	42.45	35.59	24.85	9.77	4.2	CDKAL1
2.34	1.45	3.59	1.69	0.63	0.38	0.22	0.54	0.39	0.44	0.11	0.03	RP3-348I23.2
0	0	0	0	0	0	0	0	0	0	0	0	RP1-135L22.1
0.03	0	0.12	0.05	0	0	0	0	0	0	0	0.07	RP11-204E9.1
154.91	211.87	286.79	222.08	44.8	6.94	2.58	0.72	0.33	0.09	0.4	0.31	SOX4
28.4	28.21	14.89	5.38	3.09	0.05	0	0	0	0	0.03	0	CASC15
7.99	3.69	2.17	1.04	0.04	0	0	0	0	0	0	0	CASC14
0.19	0.05	0.05	0	0	0	0	0	0	0	0	0	RP11-524C21.2
0	0	0	0	0	0	0	0	0	0	0	0	RP3-404K8.2
0	0.05	0	0	0	0	0	0	0	0	0.02	0	PRL
0	0	0	0	0	0	0	0	0	0	0	0	HDGFL1
0	0	0	0	0	0	0	0	0	0	0	0	RP1-309H15.2
0	0	0	0	0	0	0	0	0	0	0	0	RP1-209A6.1
0	0	0	0	0	0	0	0	0	0	0	0	RP11-439H9.1
0	0	0.02	0	0	0	0	0	0	0	0	0	NRSN1
0.23	0.08	0.05	0.02	0	0	0	0.02	0	0.04	0	0	DCDC2
0	0	0	0	0	0	0	0	0	0	0.03	0.07	KAAG1
23.07	22.25	28.87	42.97	50.41	87.78	94.49	72.25	23.89	14.15	8.07	2.66	MRS2
1.72	1.78	2.34	6.01	1.53	6.48	6.57	8.39	10.77	14.35	9.62	3.01	GPLD1
75.7	71.8	67.49	101.76	17.57	31.75	26.64	22.92	20.88	26.36	26.33	17.14	ALDH5A1
0.19	0.38	0.14	0.17	0.08	0.13	0.07	0	0	0.17	0.59	1.92	KIAA0319
36.36	26.1	25.6	29.07	43.97	45.15	48.96	40.2	30.16	51	211.13	298.26	TDP2
55.46	47.09	49.03	61.18	22.84	40.58	40.71	35.38	25.15	17.93	21.01	24.68	ACOT13
0.52	0.47	0.31	0.22	0.63	0.94	0.62	0.49	0.57	0.89	1.3	1.88	RP1-30M3.5
193.02	191.71	179.48	160.13	651.58	687.26	774.35	715.7	579.48	618.38	1009.92	1452.43	C6orf62
7.7	4.71	1.73	2.05	0.99	1.28	0.47	0.4	0.51	0.69	0.67	0.78	RP1-30M3.6
0	0	0	0	0	0	0	0	0	0	0	0	RP3-369A17.4
6.66	6.1	16.9	26.92	121.95	210.39	233.67	238.3	191.93	90.05	12.17	10.25	GMNN
0.19	0.47	0.07	0.1	0.06	0.02	0	0	0	0	0	0	C6orf229
156.69	137.12	81.35	87.68	19.93	13.49	8.72	5.79	1.44	1.11	0.57	0.24	FAM65B
34.47	23.92	9.67	10.55	5.68	4.01	4.5	2.3	0.53	0.64	0.84	2.42	RP11-367G6.3
0.03	0.05	0.33	0.02	0	0	0	0.02	0	0	0	0	RP3-425P12.5
0.03	0	0.02	0	0	0	0	0	0	0	0	0	RP3-425P12.1
0	0	0	0.07	0	0	0	0	0	0	0	0.03	RP3-425P12.2
0.03	0.03	0.12	0.07	0.04	0.14	0.03	0.05	0.07	0.01	0.03	0.01	RP3-522P13.3
65.04	58.15	22.32	9.44	12.04	1.14	1.01	0.84	3.09	8.26	6.15	0.83	LRRC16A
0	0	0	0	0.02	0	0.01	0	0.04	0.03	0.08	0.17	SCGN
0	0	0	0	0	0	0	0	0	0	0	0	HIST1H2AA
0	0	0	0	0	0	0	0	0	0	0	0	HIST1H2BA
0	0	0	0	0	0	0	0	0	0	0	0	SLC17A4
0	0	0	0	0	0	0	0	0	0	0	0.01	SLC17A1
0.1	0	0	0.02	0.02	0.09	0.04	0	0.01	0	0.03	0	SLC17A3
0	0	0	0	0.02	0	0.01	0	0	0	0	0	SLC17A2
52.6	42.14	35.72	22.28	57.91	29.6	29.49	27.97	42.34	59.89	104.85	157.69	TRIM38
0	0	0	0	0	0	0	0	0	0	0	0	U91328.21
0.16	0.27	0.07	0.05	1.05	0.18	0.29	0.3	0.37	0.61	1.66	2.94	U91328.20
15.59	21.23	15.04	13.83	6.77	6.52	5.81	5.72	7.14	6.79	1.97	2.71	U91328.19
0.06	0.11	0.05	0.02	0.04	0.05	0	0	0	0.09	0.06	0.1	U91328.22
3.67	5.72	15.63	14.27	0.81	0.63	0.34	0.28	0.3	0.11	0	0.03	HIST1H1A
1.46	1.97	0.99	2.75	6.36	5.78	3.95	4.73	10.14	6.62	2.56	4.94	HIST1H3A
0.16	0.41	0.12	0.07	0.42	0.47	0.25	0.31	0.69	0.43	0.17	0.22	HIST1H4A
4.22	2.96	3.05	6.45	0.71	0.38	0.43	0.4	1.04	0.57	0.45	0.45	HIST1H4B
22.58	24.57	116.93	220.2	28.98	19.74	16.38	23.81	52.47	35.74	4.34	2.34	HIST1H3B
0.45	0.47	0.26	1.04	2.12	1.72	1.59	1.33	1.55	1.33	0.71	0.51	HIST1H2AB
0.26	0.22	0.26	0.82	0.85	0.74	0.63	0.87	1.66	1.03	0.39	0.42	HIST1H2BB
1.4	2.24	6.48	18.37	11.41	8.43	7.84	10.83	24.99	15.18	2.15	0.71	HIST1H3C
335.38	316.4	239.79	391.44	26.96	20.91	20.37	29.14	67.83	96.3	371.24	1118.25	HIST1H1C
0.23	0.19	0.02	0.12	1.74	1.23	1.25	0.49	0.03	0.13	1.04	3.45	HFE
3.61	2.85	6.62	10.26	138.86	110.99	101.5	121.46	224.7	133.99	13.32	2.09	HIST1H4C
0.1	0.27	0.24	0.53	0.02	0.04	0	0.03	0.06	0.06	0.17	0.19	HIST1H1T
133.6	150.94	160.54	225.39	7.11	4.48	3.67	3.93	7.18	8.19	15.78	36.76	HIST1H2BC
51.85	49.94	34.28	47.49	12.06	6.16	5.2	4.61	13.12	29.55	117.16	343.92	HIST1H2AC
1048.91	1159.7	940.74	908.51	49.46	31.84	27.76	39.88	76.74	48.21	6.72	3.56	HIST1H1E
40.9	47.58	37.78	76.82	8.02	6.3	5.39	4.8	10.04	8.56	13.09	33.23	HIST1H2BD
2.6	3.04	3.45	9.97	3.27	3.76	2.7	3.33	8.69	4.67	0.98	0.56	HIST1H2BE
1.17	0.93	3.81	2.58	0.63	0.51	0.41	0.37	0.4	0.43	0.43	0.31	HIST1H4D
6.37	1.83	1.58	2.41	11.19	5.29	4.55	5.44	14.74	9.53	5.42	8.47	HIST1H3D
0.23	0.14	0.09	0.22	0.02	0	0.01	0	0	0	0	0	HIST1H2AD
122.58	135.12	168.3	305.59	9.33	6.75	4.85	7.92	17.11	8.7	2.63	2.23	HIST1H2BF
81.45	80.06	74.42	85.34	6.6	6.05	6.18	7.24	17.26	10.66	1.94	1.28	HIST1H4E
22.48	25.23	18.32	20.64	3.25	2.24	1.58	1.06	2.42	1.97	3.04	4.83	HIST1H2BG
23.81	21.84	15.98	27.86	4.95	3.85	3	4.69	8.69	6.13	1.78	1.02	HIST1H2AE
1.23	1.15	0.8	1.13	0.44	0.42	0.32	0.26	0.37	0.87	1.41	1.04	HIST1H3E
744.42	772.71	521.09	1117.12	7.35	10.26	8.31	10.96	24.47	10.99	1.27	0.56	HIST1H1D
0.45	0.6	0.85	0.92	6.3	8.27	7.66	10.9	21.02	9.62	0.77	0.22	HIST1H4F
0	0	0	0	0	0	0	0	0	0	0	0	HIST1H4G
1.49	1.23	3.29	5.99	4	2.71	1.26	1.8	4.07	2.86	0.57	0.18	HIST1H3F
8.74	10.53	33.71	64.29	7.9	3.83	2.74	2.79	6.22	5.93	1.63	2.56	HIST1H2BH
0.23	0.16	1.63	2.92	17.03	11.14	9.02	11.41	29.54	18.4	2.85	0.67	HIST1H3G
2.4	2.98	4.26	7.65	1.03	0.83	0.43	0.26	0.75	0.71	0.06	0.1	HIST1H2BI
8.12	7.2	11.58	12.75	1.68	0.61	0.48	0.28	0.61	1.93	7.05	18.05	HIST1H4H
52.31	40.94	39.17	36.53	54.57	29.78	20.13	14.83	5.15	4.69	2.66	0.7	BTN3A2
11.4	12.4	7.52	4.64	10.74	4.08	3.32	1.69	0.24	0.2	0.06	0.03	BTN2A2
36.88	34.94	27.16	23.42	27.41	14.5	11.22	6.75	1.01	0.83	0.77	1.18	BTN3A1
27.65	28.32	26.43	20.33	19.73	6.9	3.47	1.66	0.36	0.27	0	0.04	BTN3A3
11.44	7.66	8.35	6.81	37.65	10.87	9.1	8.58	6.33	3.2	1.7	2.8	BTN2A1
0	0	0.02	0.05	0	0.02	0.03	0	0.01	0	0	0	BTN1A1
35.06	25.97	18.61	28.73	5.88	10.11	12.09	10.78	6.46	4.94	0.94	0.21	HCG11
1.79	1.83	1.28	1.57	0.85	1.19	0.8	0.47	0.48	0.2	0.08	0.01	CTA-14H9.5
50.55	46.35	59.98	56.76	60.91	52.21	51.13	38.98	19.92	14.53	6.3	6.21	HMGN4
15.2	21.21	20.99	19.72	64.69	97.28	92.44	73.8	38.9	30.84	22.19	29.26	ABT1
3.44	2.13	2.58	2.25	6.06	5.6	6.07	4.08	2.22	1.94	1.32	1.39	ZNF322
1.1	1.15	0.66	0.48	1.31	0.42	0.27	0.26	0.21	0.24	0.05	0	RP11-457M11.5
0.26	0.25	0.24	0.17	0.2	0.09	0.07	0.1	0.01	0.01	0	0	LINC00240
0.13	0	0.02	0.02	0	0	0	0.02	0	0	0	0	RP11-239L20.6
4.35	1.4	0.52	0.34	0.14	0.14	0.08	0.12	0.22	0.8	0.62	0.68	RP1-86C11.7
8.8	4.68	3.31	5.67	4.75	3.58	2.67	2.06	4.95	7.03	8.15	27.35	HIST1H2BJ
22.74	26.9	22.13	42.25	10.6	9.36	7.75	6.11	11.1	11.6	7.25	10.17	HIST1H2AG
99.71	112.33	105.01	139.61	32.96	23.06	22.73	29.64	50.47	34.79	33.46	73.38	HIST1H2BK
12.18	3.72	4.07	10.16	24.38	24.04	20.68	23.59	31.76	9.69	1.05	0.79	HIST1H4I
1.82	2.27	4.47	7.68	4.48	4.32	3.59	4.34	7.73	4.02	0.57	0.14	HIST1H2AH
0.19	0.14	0	0	0.02	0.04	0.01	0.03	0	0.01	0	0	PRSS16
0	0	0	0	0	0	0.03	0	0	0	0	0	POM121L2
31.42	28.92	20	21.46	3.6	1.55	0.95	0.45	0.03	0.07	0.05	0.04	ZNF391
0.88	0.77	0.59	0.53	0.22	0.2	0.32	1.5	0.51	0.19	0.17	0.03	RP1-153G14.4
49.97	53.28	59.57	46.43	34.05	34.55	40.64	44.37	39.64	24.08	5.25	2.13	ZNF184
4.48	4.71	7.12	9.56	1.84	1.1	0.78	1.05	1.54	1.37	0.71	1.15	HIST1H2BL
21.51	26.3	33.05	58.25	2.75	1.48	1.63	2.41	5.17	4.26	9.17	9.75	HIST1H2AI
1.56	1.34	1.3	2	8.2	5.02	4.51	4.33	10.39	17.9	68.91	153.7	HIST1H3H
