NC7_1_S11	NC7_2_S12	NC7_3_S13	TMCC_6_1_S14	TMCC_6_2_S15	TMCC_9_2_S16	TMCC_9_3_S17	genes
26	17	26	12	12	19	16	TRIB2
0	0	0	0	0	0	0	AC092635.1
2	6	0	3	2	3	1	LINC00276
2	0	0	1	4	1	3	AC016730.1
0	0	0	0	0	0	0	AC011897.2
0	0	0	0	0	0	0	FAM84A
0	0	0	0	0	0	0	AC011897.1
0	0	0	0	0	0	0	AC068286.1
1846	1725	1407	1646	1762	1608	1575	NBAS
1	0	0	0	2	0	1	AC008278.2
1941	1592	1443	1593	1466	1731	1739	DDX1
0	0	2	0	0	0	0	AC008278.3
0	0	0	0	0	0	0	AC008271.1
0	0	0	0	0	0	0	AC113608.1
0	0	0	0	0	0	0	MYCNUN
1	0	0	0	0	0	0	MYCNOS
0	0	0	0	0	0	0	MYCN
0	0	0	2	0	0	0	AC010145.4
0	0	0	0	0	0	0	AC130710.1
0	0	0	0	0	0	0	AC142119.1
0	0	0	0	0	0	0	AC010745.1
0	0	0	0	0	0	0	AC010745.2
0	0	0	0	0	0	0	AC010745.3
0	0	0	0	0	0	0	AC010745.4
0	0	0	0	0	0	0	AC010880.1
0	0	0	0	0	0	0	AC104623.2
33	50	49	56	54	61	48	FAM49A
0	0	0	0	0	0	0	AC008069.1
0	0	0	0	0	0	0	AC080094.1
0	0	0	0	0	0	1	RAD51AP2
0	0	0	0	0	0	0	VSNL1
248	192	133	128	155	216	170	SMC6
101	73	49	53	50	66	71	GEN1
0	0	0	0	0	0	0	MSGN1
0	0	0	0	0	0	0	KCNS3
0	0	0	1	0	0	0	RP11-111J6.2
22	15	6	12	13	15	22	RDH14
0	0	0	0	0	0	0	NT5C1B-RDH14
2	2	1	0	1	0	0	NT5C1B
0	0	0	0	0	0	0	AC106053.1
4	1	4	3	5	2	2	AC092594.1
0	1	0	0	0	0	0	OSR1
0	0	0	0	0	0	0	AC010096.1
0	0	0	0	0	0	0	AC010096.2
0	0	0	0	0	0	0	AC019055.1
24	46	26	33	51	42	46	LINC00954
97	78	72	67	78	88	86	TTC32
1	0	1	2	0	2	0	RP11-79O8.1
10	25	18	18	18	13	13	WDR35
0	0	1	0	0	0	0	AC079145.4
0	0	0	0	0	1	0	MATN3
1058	853	724	802	876	826	845	LAPTM4A
0	0	0	0	0	0	0	RP11-644K8.1
0	0	0	0	0	0	0	AC098828.2
0	0	2	0	0	0	0	SDC1
767	568	478	507	605	571	697	PUM2
15	20	13	11	21	11	12	RHOB
0	0	0	0	0	0	0	AC023137.2
0	0	0	0	0	0	0	AC012065.4
149	167	164	237	177	202	170	HS1BP3
0	0	0	0	0	0	0	RP11-130L8.2
0	0	0	0	0	0	0	GDF7
0	0	0	0	0	0	0	AC012065.7
0	0	0	0	0	0	0	RP11-130L8.1
193	143	133	125	125	130	108	C2orf43
0	0	0	0	0	0	0	AC012361.1
0	0	0	0	0	0	0	RP11-116D2.1
0	0	0	0	0	0	0	APOB
0	0	0	0	0	0	0	TDRD15
0	1	0	0	0	0	0	AC067959.1
0	0	0	0	0	0	0	AC011752.1
0	0	0	0	0	0	0	AC009411.2
0	0	0	0	0	0	0	AC009411.1
0	0	0	0	0	0	0	AC018742.1
0	0	0	0	0	0	0	AC068490.2
0	0	0	0	0	0	0	AC068490.1
0	0	0	0	0	0	0	AC096570.2
0	0	0	0	0	0	0	AC096570.1
0	0	0	0	0	0	0	AC016768.1
0	0	0	0	0	0	0	AC012506.1
0	0	0	0	0	0	0	AC012506.2
0	0	0	0	0	0	0	AC012506.3
0	0	0	0	0	0	0	AC012506.4
2	5	5	2	5	5	2	KLHL29
0	0	0	0	0	0	0	AC011239.1
303	275	216	257	272	274	289	ATAD2B
89	62	46	40	45	40	53	UBXN2A
1781	2006	1567	1499	1406	1632	1682	MFSD2B
135	106	105	117	99	124	105	C2orf44
17	15	17	8	17	14	27	FKBP1B
1095	717	630	668	747	721	755	SF3B14
42	30	43	36	35	41	39	FAM228B
257	359	271	292	283	269	243	TP53I3
0	0	0	0	0	0	0	PFN4
0	0	0	0	0	0	0	RP11-507M3.1
0	0	0	0	0	0	0	AC008073.7
0	8	2	1	2	2	1	FAM228A
0	0	0	0	0	0	1	AC008073.9
363	313	229	214	279	309	252	ITSN2
0	0	0	0	0	0	0	AC009228.1
456	379	384	473	552	494	402	NCOA1
185	266	222	198	238	205	184	PTRHD1
14	28	20	24	19	33	23	CENPO
3	1	4	3	4	7	5	ADCY3
0	1	1	1	1	4	1	RP11-443B20.1
21	16	37	23	14	30	24	DNAJC27
10	13	11	17	17	9	8	DNAJC27-AS1
0	0	0	0	0	1	0	EFR3B
0	0	1	0	2	0	0	RP11-509E16.1
2	2	4	5	10	7	2	POMC
0	0	0	0	0	0	0	AC012457.2
0	1	1	1	0	1	0	RP11-458N5.1
15	13	11	23	19	12	15	DNMT3A
0	0	0	0	0	0	0	AC012074.2
2	6	1	1	3	2	3	DTNB
0	0	0	0	0	0	0	AC104699.1
313	209	194	246	259	234	211	ASXL2
4	1	0	2	2	1	0	KIF3C
0	1	3	2	3	3	2	AC013449.1
3669	2925	2645	2433	2546	2945	3198	RAB10
31	33	27	38	19	32	23	GAREML
6062	6775	5606	6059	6280	6187	5765	HADHA
2012	1940	1572	1836	1852	1854	1837	HADHB
0	5	1	0	2	3	0	GPR113
259	154	159	169	201	204	201	EPT1
0	0	0	1	0	1	4	DRC1
0	0	0	0	0	0	1	OTOF
0	0	0	0	0	0	0	C2orf70
0	0	0	1	0	0	0	CIB4
0	0	0	0	0	0	0	AC015977.6
0	1	0	0	0	0	0	KCNK3
265	345	262	344	383	355	306	SLC35F6
5	4	1	0	5	2	4	CENPA
0	0	0	0	1	0	0	DPYSL5
0	0	0	0	0	0	0	AC013472.4
89	98	60	78	58	65	69	MAPRE3
87	127	71	138	103	124	95	TMEM214
63	58	42	53	49	58	48	AGBL5
0	0	0	0	0	0	0	AGBL5-AS1
2	0	1	1	0	0	2	RP11-503P10.1
0	3	4	0	2	1	3	RP11-195B17.1
1403	1799	1682	1738	1893	1676	1385	OST4
1	0	0	0	1	0	0	EMILIN1
0	0	0	0	1	0	2	KHK
1	1	0	0	0	1	0	CGREF1
0	1	0	2	0	2	2	ABHD1
117	173	129	105	95	132	125	PREB
0	0	0	0	0	0	0	C2orf53
0	0	0	0	0	0	0	TCF23
169	241	187	204	178	193	199	SLC5A6
323	423	325	344	381	388	353	ATRAID
76	123	90	137	110	112	67	CAD
0	0	0	0	0	0	1	SLC30A3
0	0	0	0	0	0	0	DNAJC5G
0	0	0	0	0	0	0	TRIM54
0	3	0	1	0	0	0	UCN
229	278	216	214	245	277	198	MPV17
259	298	265	281	316	279	237	GTF3C2
0	0	0	0	0	1	0	AC109828.1
4	7	6	9	1	8	2	AC074117.10
478	602	523	578	561	548	517	EIF2B4
1194	1537	1274	1426	1536	1358	1274	SNX17
30	43	50	44	45	30	50	ZNF513
1134	1369	1082	1232	1245	1137	1115	PPM1G
2897	3478	2927	3237	3214	3137	3211	NRBP1
5	17	2	9	2	8	6	KRTCAP3
65	76	53	54	80	59	72	IFT172
5	12	10	5	16	6	4	FNDC4
1	1	1	2	5	4	0	GCKR
0	0	0	0	0	0	0	AC109829.1
8	5	6	22	11	9	14	C2orf16
217	171	144	141	180	165	153	ZNF512
23	19	17	9	15	13	9	CCDC121
388	395	297	359	363	369	382	GPN1
579	594	440	529	575	656	572	SUPT7L
315	282	256	262	265	272	260	SLC4A1AP
0	0	0	0	0	0	0	AC074091.13
192	162	137	177	185	182	168	MRPL33
0	0	1	0	1	0	0	AC110084.1
34	29	33	28	48	52	36	RBKS
191	213	153	214	224	235	232	BRE
3	4	4	1	9	3	2	AC093690.1
0	0	0	0	4	0	1	AC104695.3
325	324	266	298	298	256	315	FOSL2
0	1	3	2	1	1	0	RP11-373D23.3
0	0	0	0	0	0	0	AC104695.4
0	0	0	0	1	0	0	PLB1
0	0	0	0	0	0	0	AC074011.2
1	0	2	6	3	2	1	AC097724.3
3355	1198	1236	1209	1312	1216	1567	PPP1CB
2	2	2	1	0	1	1	SPDYA
0	0	0	0	0	0	0	RP11-713D19.1
38	40	29	26	28	48	36	TRMT61B
299	213	188	196	192	199	233	WDR43
0	0	0	0	0	0	0	FAM179A
0	0	0	0	0	0	0	C2orf71
0	0	0	0	0	0	0	AC105398.3
0	0	0	0	0	0	0	CLIP4
0	0	0	0	0	0	0	ALK
0	0	0	0	0	0	0	AC106870.1
0	0	0	0	0	0	0	AC106870.2
1	0	0	0	0	3	2	AC016907.3
3417	2576	2106	2299	2505	2473	2838	YPEL5
3608	4106	3570	3902	3977	3798	3637	LBH
8	10	9	5	8	5	7	AC109642.1
277	197	136	179	162	154	160	LCLAT1
0	0	0	0	0	0	0	CAPN13
0	2	0	1	4	0	1	GALNT14
0	0	0	0	0	0	0	AC009305.1
0	0	0	0	0	0	0	CAPN14
0	0	0	0	0	0	0	EHD3
0	0	0	0	1	0	0	XDH
0	0	0	0	0	0	0	AL133247.2
0	0	0	0	0	0	0	AL133249.1
0	1	2	2	0	2	0	RP11-1057B6.1
9	1	4	6	5	5	2	MEMO1
462	281	247	264	278	281	322	DPY30
2	1	2	1	1	0	1	CTC-336P14.1
660	381	297	324	313	329	385	SPAST
2	4	0	1	3	3	0	RP11-563N4.1
779	513	416	434	484	458	598	SLC30A6
2	2	3	3	0	1	1	NLRC4
1586	1034	897	971	945	990	1075	YIPF4
0	0	0	1	0	1	0	AL133245.2
374	350	345	306	337	372	354	BIRC6
0	0	0	0	0	0	0	BIRC6-AS1
115	107	81	115	117	117	95	TTC27
0	0	0	0	0	0	0	LINC00486
0	0	0	0	0	0	0	AL121656.5
554	592	450	509	475	461	458	LTBP1
28	36	19	39	39	33	33	RASGRP3
0	0	0	0	0	0	0	AC020594.5
174	107	92	114	107	113	144	FAM98A
0	0	0	0	0	0	0	AC009499.1
0	0	0	0	0	0	0	AC009499.2
0	0	0	0	0	0	0	AC073218.1
0	0	0	0	0	0	0	AC073218.2
0	0	0	0	0	0	0	RP11-529E15.1
0	0	0	0	0	0	0	AC073218.3
0	0	0	0	0	0	0	AC012593.1
0	0	0	0	0	0	0	AC019064.1
0	0	0	0	0	0	0	RP11-490M8.1
95	58	67	81	70	48	80	CRIM1
0	0	0	0	0	0	0	RP11-78I14.1
0	0	0	0	0	0	1	AC007401.2
11	5	8	8	3	4	5	FEZ2
0	0	0	0	0	0	0	VIT
2	1	1	0	0	1	1	AC007382.1
97	74	37	59	88	62	57	STRN
278	216	187	192	260	247	258	HEATR5B
34	31	26	31	23	26	23	GPATCH11
69	48	42	52	65	39	58	EIF2AK2
0	0	0	0	0	0	0	SULT6B1
83	26	37	48	50	40	51	CEBPZ-AS1
386	267	249	304	340	336	321	CEBPZ
70	47	35	44	54	54	63	NDUFAF7
6	3	8	2	4	5	4	PRKD3
0	0	0	0	0	0	0	AC007391.2
0	0	0	0	0	0	0	QPCT
0	0	0	0	0	0	0	AC006369.2
1	1	0	2	0	0	0	CDC42EP3
0	0	0	0	0	0	0	AC006369.3
0	0	0	0	0	0	0	LINC00211
47	28	32	30	43	23	29	RMDN2
0	1	0	0	0	1	0	RMDN2-AS1
135	75	71	39	68	50	59	CYP1B1
0	1	0	2	0	0	1	CYP1B1-AS1
0	0	0	0	0	0	0	AC009229.6
0	0	0	0	0	0	0	RP11-314C9.2
0	0	0	0	0	0	0	AC009229.5
502	290	312	328	337	285	410	ATL2
2	1	0	2	0	0	1	AC016995.3
0	0	0	0	0	0	0	AC093822.1
148	134	100	98	95	121	96	HNRNPLL
3	1	0	0	0	0	0	AC011247.3
114	106	89	102	97	103	89	GALM
0	0	0	0	0	0	0	AC074366.3
237	172	156	185	168	192	166	SRSF7
23	25	26	23	12	28	34	GEMIN6
63	49	48	53	44	37	45	DHX57
0	0	0	0	0	0	0	AC018693.6
58	44	34	36	43	51	46	MORN2
3	0	0	3	1	0	0	ARHGEF33
0	0	0	0	0	0	0	AC019171.1
300	212	158	175	174	242	221	SOS1
0	0	0	0	0	0	1	CDKL4
10	17	4	13	6	9	13	MAP4K3
9	12	4	7	6	4	4	AC007246.3
0	0	0	0	0	0	0	TMEM178A
48	28	33	33	27	34	40	THUMPD2
0	0	0	0	0	0	0	SLC8A1-AS1
0	0	0	0	0	0	0	SLC8A1
0	0	0	0	0	0	0	AC007377.1
0	0	0	0	0	0	0	AC007317.1
0	0	0	0	0	0	0	AC104654.1
0	1	0	0	0	1	0	AC104654.2
0	0	0	0	0	0	0	C2orf91
0	0	0	0	0	0	0	AC013480.2
0	0	0	0	0	0	0	PKDCC
1	0	2	1	1	3	0	AC083949.1
53	38	33	32	37	36	37	EML4
3410	3057	2525	2755	3116	2936	2692	COX7A2L
0	0	0	0	0	0	0	KCNG3
43	25	14	35	29	29	20	MTA3
0	0	0	0	0	0	0	OXER1
0	0	0	0	0	1	0	HAAO
0	0	0	0	2	0	0	AC016735.1
0	0	0	0	0	0	0	AC016735.2
0	0	0	0	0	0	0	AC016735.3
0	0	1	0	0	1	1	AC093609.1
227	170	123	183	154	152	138	THADA
353	215	172	170	194	194	174	ZFP36L2
0	1	0	3	1	0	0	AC010883.5
1	1	0	0	1	2	0	PLEKHH2
79	86	49	65	55	71	69	DYNC2LI1
0	0	0	0	0	0	0	ABCG5
0	0	0	0	0	0	1	ABCG8
1036	804	639	689	734	788	763	LRPPRC
0	0	0	0	0	0	0	RP11-559M23.1
86	69	62	63	51	69	70	PPM1B
9	5	6	4	7	3	11	SLC3A1
634	439	364	424	424	486	493	PREPL
300	296	256	255	257	262	266	CAMKMT
0	0	0	0	0	0	0	RP11-89K21.1
0	0	0	0	0	0	0	SIX3-AS1
0	0	0	0	0	0	0	SIX3
0	0	0	0	0	0	0	AC012354.6
0	1	0	0	0	0	0	SIX2
0	0	0	0	0	0	0	AC093702.1
0	0	0	0	0	0	0	AC009236.2
72	58	42	41	68	64	74	SRBD1
1	2	2	0	0	0	1	PRKCE
0	0	0	0	0	0	0	U51244.2
0	0	0	0	0	0	0	AC017006.2
0	0	0	0	0	0	0	AC017006.3
213	221	159	208	202	183	182	EPAS1
0	0	0	0	0	0	0	AC016912.3
0	0	0	0	0	0	0	TMEM247
0	0	0	4	4	1	0	ATP6V1E2
0	0	0	0	0	0	0	RP11-417F21.2
2	0	1	5	1	2	3	RHOQ
0	0	0	0	0	0	0	RP11-417F21.1
69	36	27	38	48	38	35	PIGF
656	440	360	442	465	450	516	CRIPT
70	51	56	46	37	53	60	SOCS5
0	1	3	0	0	0	0	RP11-333I13.1
0	0	0	0	0	0	0	LINC01118
0	1	1	0	0	0	0	LINC01119
0	0	0	0	0	0	0	AC016722.3
3	5	2	1	5	2	1	AC016722.4
551	513	386	397	517	560	510	MCFD2
16	8	15	7	12	9	10	TTC7A
0	0	0	0	0	0	0	RP11-15I20.1
0	0	0	0	0	0	0	AC093732.1
0	1	1	0	0	1	0	C2orf61
0	0	0	0	0	0	0	RP11-761B3.1
0	0	0	0	0	0	0	AC073283.7
2719	1654	1525	1629	1707	1833	1935	CALM2
0	0	0	0	0	0	0	AC073283.4
0	0	0	0	0	0	0	AC106869.2
0	1	3	0	0	0	0	BCYRN1
399	224	220	217	262	221	253	EPCAM
79	77	54	48	52	75	56	MSH2
0	0	0	0	0	0	0	AC138655.6
0	0	0	0	0	0	0	KCNK12
0	0	0	0	0	0	0	AC138655.4
0	0	0	0	0	0	1	AC138655.1
94	103	87	66	76	95	94	MSH6
94	52	42	42	56	50	74	FBXO11
0	1	0	2	3	0	1	AC079807.2
5	2	8	3	3	6	5	AC079807.4
431	285	277	294	317	340	310	FOXN2
0	2	1	0	0	0	0	RP11-191L17.1
90	63	45	50	56	60	82	PPP1R21
1	0	0	0	0	0	0	STON1
0	0	0	0	0	0	0	STON1-GTF2A1L
0	0	0	0	0	0	0	GTF2A1L
1	0	0	0	1	0	0	LHCGR
0	1	0	0	0	0	0	FSHR
0	0	0	1	0	0	0	NRXN1
0	0	0	0	0	0	0	AC007682.1
0	0	0	0	0	0	0	AC007680.2
0	0	0	0	0	0	0	AC087073.1
0	0	0	0	0	0	0	AC139712.4
0	0	0	0	0	0	0	AC010967.2
0	0	0	0	0	0	0	AC010967.3
11	7	12	9	12	13	10	GPR75-ASB3
0	0	1	0	0	0	0	ASB3
506	341	325	346	372	370	367	CHAC2
734	566	487	532	550	591	698	ERLEC1
17	10	10	12	14	14	14	GPR75
1570	1402	1308	1293	1406	1394	1644	PSME4
137	144	104	132	123	119	114	ACYP2
8	6	4	8	9	8	9	RP11-477N3.1
3	0	0	0	0	0	0	TSPYL6
0	0	0	0	0	1	0	C2orf73
0	0	0	0	0	0	0	SPTBN1
0	0	0	0	0	0	0	AC092839.3
0	0	0	0	0	0	0	AC092839.4
0	0	0	0	0	0	0	AC093110.3
0	0	1	1	1	2	0	EML6
0	0	0	0	0	0	0	AC104781.1
56	65	64	66	73	59	50	RTN4
24	13	13	12	13	11	7	CLHC1
5	0	1	0	0	1	1	AC012358.7
8882	9261	8097	8321	9053	8980	8933	RPS27A
245	195	171	202	216	251	217	MTIF2
80	65	58	51	62	69	68	CCDC88A
1	1	2	3	1	2	1	AC012358.8
160	126	160	127	154	156	176	CCDC104
1243	590	612	631	589	679	785	SMEK2
0	0	0	0	0	1	0	RP11-554J4.1
180	116	86	122	117	133	113	PNPT1
0	0	0	0	0	0	0	EFEMP1
0	0	0	0	0	0	0	RP11-481J13.1
0	0	0	0	0	0	1	AC011306.2
0	0	0	0	0	0	0	AC011306.1
0	0	0	0	0	0	0	AC007743.1
0	0	0	0	0	0	0	CCDC85A
258	183	174	200	157	217	159	VRK2
38	12	6	17	18	7	14	FANCL
0	0	0	0	0	0	0	RP11-334G22.1
0	0	0	0	0	0	0	AC007250.4
4	8	5	5	5	3	5	LINC01122
5	0	1	0	1	3	0	AC007131.1
0	0	0	0	0	0	0	RP11-444A22.1
0	0	0	0	0	0	0	AC007131.2
0	0	0	0	0	0	0	AC007179.1
0	0	1	8	4	1	2	AC007381.3
3	0	2	3	4	2	2	AC007381.2
990	809	767	787	821	830	835	BCL11A
0	2	1	1	0	3	0	AC009970.1
318	182	184	164	142	192	221	PAPOLG
0	0	0	0	0	0	0	AC010733.4
79	45	46	53	54	63	52	REL
52	33	24	24	34	34	48	PUS10
140	105	102	121	87	134	139	PEX13
10	9	13	4	4	12	8	KIAA1841
0	0	0	0	0	0	0	C2orf74
0	0	0	0	0	0	0	RP11-493E12.1
10	20	12	11	20	29	30	AHSA2
593	403	364	381	430	448	470	USP34
24	22	30	14	30	20	24	RP11-355B11.2
396	262	205	193	242	295	327	XPO1
10	5	3	6	0	6	3	FAM161A
2840	2554	2038	2194	2343	2307	2448	CCT4
1	0	1	0	0	0	0	AC107081.5
416	420	395	415	350	407	373	COMMD1
1	0	3	2	3	5	4	AC018462.2
165	117	91	81	78	82	110	B3GNT2
9	5	4	2	9	7	6	AC093159.1
12	13	11	6	13	10	6	TMEM17
0	0	0	0	1	0	0	AC092155.4
60	32	31	31	62	50	61	EHBP1
0	0	0	0	0	1	0	AC007098.1
7	2	0	0	3	1	4	AC009501.4
7	6	8	16	12	8	1	OTX1
17	15	12	13	25	22	7	WDPCP
948	973	749	875	824	892	860	MDH1
231	136	145	143	192	158	175	UGP2
24	16	10	15	14	26	18	VPS54
0	0	0	0	0	0	0	AC012368.1
30	24	15	36	34	29	35	PELI1
0	0	0	0	0	0	0	AC074289.1
0	0	0	0	0	0	0	LINC00309
0	0	0	0	0	0	0	AC114752.1
0	0	0	0	0	0	0	AC114752.3
0	0	0	0	0	0	0	AC008074.3
0	0	0	0	0	0	0	LGALSL
0	0	0	0	0	0	0	AC008074.4
3	1	2	1	1	0	4	RP11-568N6.1
480	359	346	341	352	375	384	AFTPH
1	0	1	1	0	0	1	AC007365.1
597	523	444	499	508	497	490	SERTAD2
2	3	3	1	0	0	3	AC007365.3
0	0	0	0	0	0	0	AC007880.1
0	0	0	0	0	0	0	AC007386.2
17	7	9	14	9	11	6	SLC1A4
0	0	0	4	0	0	0	AC007386.4
68	57	38	62	44	36	45	CEP68
1185	818	741	787	848	844	983	RAB1A
739	423	364	418	454	494	457	ACTR2
50	34	45	34	48	36	37	SPRED2
0	0	0	0	1	3	0	AC074391.1
0	0	0	0	0	0	0	AC012370.3
0	0	0	0	0	0	0	AC007389.3
0	0	0	0	0	0	0	RP11-340F16.1
0	0	0	0	0	0	0	AC118345.1
0	0	0	0	0	0	0	AC092669.6
0	0	0	0	0	0	0	AC092669.2
0	0	0	0	0	0	0	AC092669.3
0	0	0	0	0	0	0	MEIS1-AS3
0	0	0	0	0	0	0	MEIS1
0	0	0	0	0	0	0	MEIS1-AS2
0	0	0	0	0	0	0	AC092669.1
0	0	0	0	0	0	0	AC007392.3
0	0	0	0	0	0	0	AC007392.4
0	0	0	0	0	0	0	AC007403.2
0	0	0	0	0	0	0	AC007403.1
0	0	0	0	0	0	0	AC007403.3
0	0	0	0	0	0	0	AC023115.2
0	0	0	0	0	0	0	AC023115.1
0	0	0	0	0	0	0	AC078941.1
0	0	0	0	0	0	0	AC023115.4
27	15	15	10	30	37	28	ETAA1
0	0	0	0	0	0	0	AC007422.1
0	0	0	0	0	0	0	AC010987.5
0	0	0	0	0	0	0	AC010987.6
686	344	357	333	345	353	495	C1D
14	14	14	5	11	7	13	WDR92
0	0	0	0	0	0	0	RP11-474G23.1
204	160	146	147	195	175	211	PNO1
180	99	115	113	102	93	107	PPP3R1
0	0	0	0	0	0	0	RP11-474G23.2
0	0	1	0	0	1	0	RP11-474G23.3
329	297	244	274	298	321	254	CNRIP1
0	0	0	0	0	0	0	AC015969.3
10	10	5	3	3	9	1	PLEK
45	31	37	33	36	46	40	FBXO48
118	113	90	82	91	95	121	APLF
1	0	0	0	0	0	0	PROKR1
0	0	0	0	0	0	1	ARHGAP25
0	0	0	0	0	0	0	AC097495.2
0	0	0	0	0	0	0	AC097495.3
0	0	0	0	0	0	0	BMP10
0	0	0	0	0	0	0	GKN2
0	0	0	0	2	0	0	GKN1
0	0	0	0	0	0	0	ANTXR1
1000	754	636	793	893	820	855	GFPT1
191	158	144	151	171	166	204	NFU1
528	427	369	443	422	446	438	RP11-427H3.3
425	419	421	424	464	435	434	AAK1
290	231	176	227	222	223	192	ANXA4
0	0	0	0	0	0	0	AC092431.3
195	131	106	96	104	151	163	GMCL1
235	152	130	138	133	177	148	SNRNP27
591	460	402	387	429	427	490	MXD1
1	0	0	1	1	1	0	AC019206.1
10	11	11	20	5	15	13	ASPRV1
94	56	68	70	73	78	78	PCBP1-AS1
597	643	543	631	586	581	536	PCBP1
0	0	2	0	0	0	0	AC016700.2
1	3	0	0	1	1	1	AC016700.5
152	150	144	138	143	108	117	C2orf42
272	229	165	149	193	223	231	TIA1
51	25	23	30	40	36	31	PCYOX1
430	333	272	351	337	338	342	SNRPG
88	36	43	41	55	56	52	FAM136A
0	0	0	0	0	0	0	AC022201.5
0	0	0	0	0	0	0	AC022201.4
0	0	0	0	0	0	0	TGFA
3544	4073	3331	3772	3761	3838	3522	ADD2
0	1	1	2	0	3	3	AC007395.3
0	0	0	0	0	0	0	FIGLA
0	0	0	0	0	0	0	CLEC4F
0	0	0	0	0	0	0	CD207
0	0	0	0	0	0	0	LINC01143
0	0	0	0	0	0	0	VAX2
1	0	1	0	0	0	0	ATP6V1B1
1	0	0	0	0	0	0	AC007040.11
0	0	0	0	0	0	0	AC007040.7
2	3	2	3	1	3	2	ANKRD53
233	269	204	256	258	260	265	TEX261
0	0	0	0	0	0	0	AC007040.6
0	0	0	0	0	1	0	AC007040.8
107	143	120	134	133	161	133	NAGK
0	4	1	1	1	1	0	RP11-467P9.1
136	89	79	79	85	103	113	MCEE
188	146	123	133	138	190	188	MPHOSPH10
78	91	65	65	85	75	79	PAIP2B
726	574	467	574	669	657	737	ZNF638
709	866	829	656	691	697	790	DYSF
0	2	0	0	0	0	0	CYP26B1
85	52	82	59	56	57	70	EXOC6B
11	3	1	2	0	7	4	SPR
0	0	0	0	0	1	0	EMX1
249	352	237	267	266	277	247	SFXN5
0	0	0	0	1	0	0	RAB11FIP5
0	0	0	0	0	0	0	NOTO
73	125	63	91	94	109	86	SMYD5
101	101	64	92	81	88	93	PRADC1
2877	3468	2865	3272	3186	3156	3073	CCT7
0	1	1	4	0	0	2	FBXO41
0	0	0	0	0	0	0	EGR4
28	20	8	12	23	38	20	ALMS1
0	0	0	0	0	0	0	NAT8
157	72	65	79	73	76	80	TPRKB
4	1	2	0	2	0	2	RP11-434P11.2
425	330	249	284	341	307	352	DUSP11
0	0	0	0	0	0	0	C2orf78
390	299	287	324	316	349	328	STAMBP
2	0	2	0	1	1	0	ACTG2
313	337	272	303	335	327	313	DGUOK
6	10	16	9	13	8	8	DGUOK-AS1
1	0	2	0	1	1	0	AC073046.25
0	1	0	0	2	3	0	RP11-711M9.1
950	864	861	829	908	894	877	TET3
0	0	0	1	0	2	1	MGC10955
201	209	134	187	165	196	184	BOLA3
70	43	30	44	38	58	29	BOLA3-AS1
1299	836	816	789	891	941	996	MOB1A
0	0	0	0	0	0	0	CATX-2
1160	852	721	958	1083	945	965	MTHFD2
0	1	0	0	0	1	0	RP11-287D1.3
3	4	1	1	1	4	1	SLC4A5
1145	1503	1234	1381	1296	1248	1217	DCTN1
0	0	0	0	2	0	0	DCTN1-AS1
0	1	1	0	0	1	1	C2orf81
15	24	11	22	9	18	25	WDR54
0	0	2	2	2	0	0	RTKN
20	25	16	20	22	23	14	INO80B
6	11	5	3	11	9	3	WBP1
82	111	92	111	138	92	111	MOGS
6	8	5	2	0	4	0	MRPL53
25	31	26	36	37	39	22	CCDC142
218	232	213	217	237	270	227	TTC31
5	2	1	3	0	4	3	LBX2
0	2	0	0	0	0	0	AC005041.17
0	0	0	0	0	0	1	RP11-523H20.3
4	7	4	15	6	4	9	LBX2-AS1
163	235	185	215	228	253	208	PCGF1
0	0	0	1	0	1	0	TLX2
9	4	1	8	4	10	2	DQX1
1061	1304	1064	1198	1384	1362	1241	AUP1
698	1000	799	824	975	838	774	HTRA2
3	6	4	2	1	9	2	LOXL3
11	6	5	14	14	13	16	DOK1
0	0	0	0	0	0	0	M1AP
0	0	1	0	4	0	0	SEMA4F
0	0	0	0	0	0	0	RP11-259N19.1
0	2	1	0	5	0	6	HK2
31	21	34	36	30	27	25	AC104135.3
1	1	0	0	0	2	1	AC104135.2
0	0	0	0	0	1	1	AC104135.4
153	184	165	154	170	158	140	POLE4
0	0	0	0	0	1	0	TACR1
0	0	0	0	2	0	0	RP11-355F16.1
0	0	0	0	0	0	0	EVA1A
0	0	0	0	0	0	0	AC007099.2
0	0	0	0	0	0	0	AC007099.1
301	211	216	193	227	229	262	MRPL19
63	32	25	40	26	35	22	GCFC2
25	16	19	18	14	15	11	RP11-342K6.1
0	0	0	0	1	0	0	RP11-342K6.3
0	0	0	0	0	0	0	RP11-342K6.4
0	0	0	0	0	0	0	LRRTM4
0	0	0	0	0	0	0	AC079117.1
0	0	0	0	0	0	0	AC084149.2
0	0	0	0	0	0	0	AC084149.1
0	0	0	0	0	0	0	AC073628.1
0	0	0	0	0	0	0	AC012494.1
0	0	0	0	0	0	0	AC092660.1
0	0	0	0	0	0	0	REG3G
0	0	0	1	0	0	0	REG1B
0	0	0	0	0	0	0	REG1A
0	0	0	0	0	0	0	REG3A
0	0	0	0	0	0	0	CTNNA2
0	0	0	0	0	0	0	AC010975.1
0	0	0	0	0	0	0	AC016716.2
0	0	0	0	0	0	0	LRRTM1
0	0	0	0	0	0	0	AC008067.2
0	0	0	0	0	0	0	AC084193.1
0	0	0	0	0	0	0	AC012075.2
0	1	0	0	0	0	0	AC079896.1
0	0	0	0	0	0	0	AC010105.1
